Column1;Column2;Column3;Column4;Column5;Column6
0,462584835;2,544596477;1,440998291;2,49388122;3,547681828;2,463226538
0,454652046;2,520413618;1,459014697;2,438754992;3,540885982;2,453406996
0,471121916;2,563170386;1,463955671;2,440327429;3,534863632;2,453084662
0,47259716;2,563298893;1,447209839;2,453438403;3,53931672;2,490524831
0,486900682;2,548640965;1,484778663;2,45714872;3,548892917;2,512032551
0,484447982;2,576637898;1,515202508;2,462833078;3,518882063;2,575332218
0,486395824;2,571106997;1,543439438;2,435067606;3,524191988;2,555848798
0,452477485;2,579435849;1,545700675;2,448977236;3,513083238;2,555938788
0,438094647;2,532172735;1,578350763;2,451047082;3,498932206;2,544266502
0,457196362;2,51728189;1,552928438;2,408190317;3,509585978;2,515637025
0,448541717;2,477740189;1,501518576;2,416327522;3,533627217;2,494369374
0,434534423;2,514235932;1,472355651;2,472356503;3,553206708;2,463264099
0,468484594;2,486700653;1,433825457;2,482177516;3,564472915;2,515685645
0,521230009;2,464677052;1,43385637;2,483929149;3,603216566;2,501392791
0,458592495;2,462439461;1,500695438;2,547311401;3,60402072;2,511797662
0,501072106;2,445033028;1,514363141;2,523558929;3,542179237;2,464850431
0,511675977;2,438362786;1,531857968;2,508955162;3,508950749;2,483299301
0,528767149;2,449450426;1,552749893;2,529508119;3,501041342;2,451968554
0,494721089;2,473908274;1,544192967;2,52392964;3,478814727;2,470588351
0,479506051;2,49812845;1,544634732;2,501893561;3,456373583;2,4830204
0,430645508;2,54663241;1,555443403;2,507754544;3,458877984;2,500233235
0,438271468;2,540975911;1,559868049;2,534521869;3,466111967;2,510437247
0,378241974;2,540462252;1,535413273;2,513276091;3,503014018;2,459394687
0,333327435;2,544353439;1,538951567;2,530879252;3,477477957;2,439271846
0,407562489;2,528403851;1,524982288;2,56470651;3,525784898;2,441670708
0,454116845;2,505578194;1,520039014;2,582938999;3,560312361;2,455165769
0,434194665;2,490304528;1,514568504;2,575759278;3,565322306;2,440067221
0,472223402;2,532081467;1,537117315;2,542244068;3,531347627;2,454637525
0,52239751;2,545184696;1,553686478;2,49291782;3,544298846;2,501203782
0,528728281;2,523872357;1,539512212;2,473997227;3,506719963;2,471913635
0,524373636;2,547456327;1,526491293;2,473373976;3,499080512;2,470191112
0,561528691;2,542921288;1,54214553;2,470787051;3,507873548;2,456527036
0,535708945;2,487467688;1,558563534;2,486226204;3,518575878;2,504992369
0,55988992;2,494920537;1,498457743;2,514488108;3,496552016;2,464602169
0,575125661;2,507098837;1,508121613;2,520617745;3,49400495;2,517531536
0,59466425;2,514992338;1,519632191;2,514244943;3,496506194;2,501380046
0,602723822;2,508688355;1,510689567;2,516122634;3,469764485;2,496798944
0,599265982;2,53591493;1,501224655;2,544656566;3,481947;2,468641042
0,56606795;2,538752471;1,547558412;2,549634721;3,491449911;2,514057628
0,521185305;2,541581457;1,498058615;2,545307466;3,470844437;2,514656921
0,494547307;2,535883448;1,491892758;2,533322255;3,416541942;2,523138188
0,474121767;2,539852623;1,519082971;2,516089912;3,438023351;2,557824547
0,502755517;2,520773;1,55634702;2,49128058;3,396543765;2,589998384
0,488497159;2,50840305;1,560280875;2,497088773;3,406492085;2,549468886
0,486472534;2,517556691;1,582748027;2,510869919;3,452697203;2,521461986
0,491519979;2,471190251;1,602489979;2,512261389;3,482773566;2,537982164
0,501217052;2,479268031;1,568141441;2,575610651;3,484890688;2,539492641
0,502191536;2,490290929;1,514935731;2,580819416;3,459189983;2,516159658
